,Width,Height
1013,200,252
1014,236,218
1015,225,225
1016,642,361
1017,216,293
1018,329,310
1019,550,664
1020,216,202
1021,214,236
1022,350,350
1023,218,231
1024,550,664
1025,225,225
1026,206,244
1027,1024,1024
1028,512,512
1029,236,236
1030,214,236
1031,416,512
1032,468,444
1033,626,575
1034,201,244
1035,630,630
1036,236,226
1037,225,225
1038,275,301
1039,420,280
1040,225,225
1041,206,244
1042,236,236
1043,630,630
1044,442,454
1045,626,686
1046,300,168
1047,605,613
1048,468,444
1049,224,262
1050,236,236
1051,225,225
1052,236,236
1053,225,225
1054,359,449
1055,225,225
1056,201,251
1057,442,442
1058,225,225
1059,411,496
1060,359,449
1061,201,250
1062,852,480
1063,680,680
1064,332,442
1065,225,225
1066,201,251
1067,220,275
1068,785,848
1069,236,236
1070,1000,583
1071,442,442
1072,442,442
1073,206,244
1074,494,600
1075,300,168
1076,680,680
1077,225,225
1078,225,225
1079,630,630
1080,233,243
1081,215,234
1082,196,257
1083,206,244
1084,442,454
1085,630,630
1086,225,225
1087,173,201
1088,512,512
1089,200,252
1090,225,225
1091,253,239
1092,468,444
1093,236,290
1094,442,442
1095,629,585
1096,236,263
1097,236,236
1098,236,236
1099,236,236
1100,201,250
1101,630,630
1102,196,257
1103,219,211
1104,225,225
1105,236,216
1106,428,417
1107,227,222
1108,192,192
1109,215,234
1110,201,250
1111,409,442
1112,236,260
1113,225,225
1114,630,630
1115,225,225
1116,428,417
1117,200,252
1118,642,361
1119,225,225
1120,442,454
1121,236,236
1122,225,225
1123,150,198
1124,630,630
1125,236,268
1126,630,630
1127,717,717
1128,468,444
1129,236,236
1130,236,269
1131,296,320
1132,630,630
1133,220,275
1134,850,872
1135,225,225
1136,648,674
1137,232,217
1138,150,198
1139,225,225
1140,626,575
1141,332,442
1142,300,168
1143,504,540
1144,428,417
1145,416,512
1146,173,201
1147,232,217
1148,221,257
1149,214,236
1150,420,280
1151,235,229
1152,630,630
1153,227,222
1154,225,225
1155,1375,1446
1156,550,664
1157,442,442
1158,800,693
1159,235,233
1160,236,236
1161,236,290
1162,630,630
1163,201,250
1164,255,236
1165,173,201
1166,420,280
1167,350,350
1168,400,442
1169,605,613
1170,393,400
1171,350,350
1172,350,350
1173,428,417
1174,400,442
1175,442,442
1176,201,250
1177,630,630
1178,236,240
1179,236,222
1180,630,630
1181,680,680
1182,630,630
1183,225,225
1184,225,225
1185,852,480
1186,225,225
1187,428,417
1188,468,444
1189,226,213
1190,393,400
1191,177,197
1192,359,449
1193,630,630
1194,208,217
1195,642,361
1196,680,680
1197,225,225
1198,236,252
1199,504,540
1200,236,236
1201,201,250
1202,442,442
1203,227,222
1204,225,225
1205,236,260
1206,236,251
1207,235,244
1208,228,221
1209,850,745
1210,630,630
1211,500,500
1212,236,221
1213,275,301
1214,630,630
1215,225,225
1216,630,630
1217,300,168
1218,642,361
1219,680,680
1220,236,232
1221,420,280
1222,275,183
1223,472,537
1224,680,680
1225,428,417
1226,236,290
1227,428,417
1228,359,449
1229,417,424
1230,225,225
1231,428,417
1232,630,630
1233,200,210
1234,630,630
1235,232,217
1236,504,540
1237,428,417
1238,173,201
1239,225,225
1240,630,630
1241,236,218
1242,236,236
1243,428,417
1244,314,258
1245,150,198
1246,236,236
1247,630,630
1248,680,680
1249,234,218
1250,359,449
1251,200,252
1252,225,225
1253,227,222
1254,235,229
1255,442,442
1256,173,201
1257,150,198
1258,222,252
1259,225,225
1260,225,225
1261,234,224
1262,218,231
1263,225,225
1264,590,332
1265,225,225
1266,225,225
1267,227,262
1268,201,250
1269,468,444
1270,442,442
1271,206,244
1272,442,442
1273,215,234
1274,227,222
1275,442,442
1276,200,252
1277,428,417
1278,225,225
1279,236,236
1280,210,234
1281,359,449
1282,227,222
1283,228,221
1284,234,234
1285,300,168
1286,225,225
1287,233,210
1288,225,225
1289,194,259
1290,236,270
1291,225,225
1292,218,231
1293,236,290
1294,236,262
1295,227,222
1296,225,225
1297,236,260
1298,236,263
1299,300,168
1300,227,222
1301,225,225
1302,227,222
1303,234,218
1304,225,225
1305,225,225
1306,225,225
1307,150,198
1308,150,198
1309,630,630
1310,468,444
1311,442,454
1312,234,224
1313,236,236
1314,225,225
1315,236,252
1316,200,252
1317,420,280
1318,236,268
1319,236,243
